Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Librettist,Language,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
"Ach, was soll ich Sünder machen",,,,"Bach, Johann Sebastian",BWV 770 ; BC K 93,IJB 10,,1 chorale partita,1710-14 ca.,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach,_was_soll_ich_S%C3%BCnder_machen,_BWV_770_(Bach,_Johann_Sebastian)"
"Ach, was soll ich Sünder machen",,,,"Bach, Johann Sebastian",BWV 259 ; BC F 5.1,IJB 1003,E minor,1 chorale,1725 or before,"1784 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.39)","Johann Flitner
(1618-1678)",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Ach,_was_soll_ich_S%C3%BCnder_machen,_BWV_259_(Bach,_Johann_Sebastian)"
Adagio,,,,"Bach, Johann Sebastian",BWV 968 ; BC L185,IJB 11,G major,1 Adagio (46 bars),1720,1866?,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Adagio_in_G_major,_BWV_968_(Bach,_Johann_Sebastian)"
Air with Variations,,,,"Bach, Johann Sebastian",BWV 991,IJB 13,C minor,1 (incomplete),"1722 from the
Notebooks for Anna Magdalena Bach
(No.7)",1894 (BGA),,,,,,Baroque,Baroque,"https://imslp.org/wiki/Air_with_Variations_in_C_minor,_BWV_991_(Bach,_Johann_Sebastian)"
Alla breve in D major,,,,"Bach, Johann Sebastian",BWV 589 ; BC J 64,IJB 14,D major,1 piece,1709?,1852 (Peters) or earlier,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Alla_breve_in_D_major,_BWV_589_(Bach,_Johann_Sebastian)"
Alle Menschen müssen sterben,,,,"Bach, Johann Sebastian",BWV 643 ; BC K 72,IJB 15,G major,1 chorale prelude,"1714 ca., from
Das Orgel-Büchlein
(No.45)",1846 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Alle_Menschen_m%C3%BCssen_sterben,_BWV_643_(Bach,_Johann_Sebastian)"
Alle Menschen müssen sterben,,,,"Bach, Johann Sebastian",BWV 1117 ; BC K 190 ; Emans 20,IJB 1036,B-flat major,1 chorale,1703-07?,"1790 ca. as part of the
Neumeister Chorales
, BWV 1090-1120 (No.32)",,,,,,Baroque,Baroque,"https://imslp.org/wiki/Alle_Menschen_m%C3%BCssen_sterben,_BWV_1117_(Bach,_Johann_Sebastian)"
Alle Menschen müssen sterben,,,,"Bach, Johann Sebastian",BWV 262 ; BC F 8.1,IJB 1060,D major,1 chorale,1725 or before,"1785 in
Chörale der Sammlung C.P.E. Bach nach dem Druck von 1784-1787
(No.153)","Johann Georg Albinus
(1624-1679)
Johann Rosenmüller
(1617-1684))",German,,,,Baroque,Baroque,"https://imslp.org/wiki/Alle_Menschen_m%C3%BCssen_sterben,_BWV_262_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian","BWV 662, 662a ; BC K 85",IJB 888,A major,1 chorale prelude (53 bars),"1747-48 in
18 Chorale Preludes
(No.12)",1846 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_662_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian","BWV 663, 663a ; BC K 86",IJB 889,G major,1 chorale prelude (127 bars),"1747-48 as part of
18 Chorale Preludes
, BWV 651-668 (No.13)",1846 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_663_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian",BWV 675 ; BC K 7,IJB 1183,,1 chorale prelude,,"1739 in
Clavier-Übung III
(No.8)",,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_675_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian",BWV 676a,IJB 1184,,1 chorale prelude,,,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_676a_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian",BWV 676 ; BC K 8,IJB 1185,,1 chorale prelude,,"1739 in
Clavier-Übung III
(No.9)",,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_676_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian",BWV 715 ; BC K 128,IJB 885,G major,1 chorale prelude (17 bars),1727?,1893 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_715_(Bach,_Johann_Sebastian)"
Allein Gott in der Höh sei Ehr,,,,"Bach, Johann Sebastian",BWV 717 ; BC K 106,IJB 881,G major,1 chorale prelude (63 bars),,1847 or before,,,,,,Baroque,Baroque,"https://imslp.org/wiki/Allein_Gott_in_der_H%C3%B6h_sei_Ehr,_BWV_717_(Bach,_Johann_Sebastian)"
