Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
't Wordt avond,,,,"Tinel, Jef",,IJT 4,D-flat major,,,,,,,Modern,Early 20th century,"https://imslp.org/wiki/%27t_Wordt_avond_(Tinel,_Jef)"
'Tis Raining,,,,"Grunn, Homer",,IHG 1,,,,1929,,Elizabeth Willis De Huff,,Early 20th century,Early 20th century,"https://imslp.org/wiki/%27Tis_Raining_(Grunn,_Homer)"
'Tis Sunset in the Heart Waltz,,,,"Truax, J. L.",,IJT 8,G major,,,1867,,,,Romantic,Romantic,"https://imslp.org/wiki/%27Tis_Sunset_in_the_Heart_Waltz_(Truax,_J._L.)"
'Tis to Waft,,,,"Armstrong, Peter McKenzie",Op.26,IPA 1,,2 single-movement alternatives,2017,,,George Barth,2 minutes each,Modern,Modern,"https://imslp.org/wiki/%27Tis_to_Waft,_Op.26_(Armstrong,_Peter_McKenzie)"
...before a droplet hits the water,,,,"Xu, Xavier Shuang",,IXX 1,,,,,,,7 minutes,Modern,Early 20th century,"https://imslp.org/wiki/...before_a_droplet_hits_the_water_(Xu,_Xavier_Shuang)"
...E agora?!,,,,"Campos, Antero de",,IAC 8,D major,,,1920,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/...E_agora%3F!_(Campos,_Antero_de)"
...ma non troppo,,,,"Schnier, Joâo",,IJS 1,,,2012/03,,,,2 minutes,Modern,Modern,"https://imslp.org/wiki/...ma_non_troppo_(Schnier,_Jo%C3%A2o)"
...Nem á páu...,,,,"Delgado, Optaciano",,IOD 1,D minor,,,,,"Aos ""Turunas"" Francisco Pnto, Pedro Freire, Antonio Pinto, Dirceu Freire",,Romantic,Early 20th century,"https://imslp.org/wiki/...Nem_%C3%A1_p%C3%A1u..._(Delgado,_Optaciano)"
1.X.1905,"ピアノソナタ
;
Sonate « 1 octobre 1905 »
;
1. X. 1905
;
Sonata para piano 1.X.1905
;
Sonate 1. X. 1905
;
Sonata per a piano 1.X.1905","1905年10月1日
;
Sonate «1 octobre 1905»
;
Von der Straße
;
Von der Strasse
;
Z ulice dne 1. října 1905
;
From the street 1 October 1905
;
JW VIII/19
;
JW 8/19","WorldCat
;
Wikipedia
;
LCCN
:
n82063632","Janáček, Leoš",,ILJ 1,E-flat minor,"2 sections
Předtucha (Foreboding)
Smrt (Death)","1905-06
First Perf
ormance
.
1906-01-27 in Brno",1924,,To the memory of a student killed 1.X.1905,13 minutes,Romantic,Early 20th century,"https://imslp.org/wiki/1.X.1905_(Jan%C3%A1%C4%8Dek,_Leo%C5%A1)"
1AbAcAbA,,,,"Pérez, Sergio Aarón",,ISP 1,,1,2015,,,,3 minutes.,Modern,Modern,"https://imslp.org/wiki/1AbAcAbA_(P%C3%A9rez,_Sergio_Aar%C3%B3n)"
1o de janeiro...,,,,"Machado, Emygdio",,IEM 2,B-flat major,,1910,1910,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/1o_de_janeiro..._(Machado,_Emygdio)"
1º de maio,,,,"Santos, Justino Lopes dos",,IJS 1,A minor,,1903 ca.,1903,,Ao Sr. Coronel Dr. Fernando Mendes de Almeida,,Early 20th century,Early 20th century,"https://imslp.org/wiki/1o_de_maio_(Santos,_Justino_Lopes_dos)"
1º de Abril,,,,"Silva, Thomaz Fernandes da",,ITS 32,G minor,,,1918,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/1%C2%BA_de_Abril_(Silva,_Thomaz_Fernandes_da)"
"2-Part Invention in 3 Parts, HC 754",,,,"Cowell, Henry",HC 754,IHC 32,C major,,1950/09/27,1960,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/2-Part_Invention_in_3_Parts,_HC_754_(Cowell,_Henry)"
Les 3 mousquetaires,,,,"Schubert, Camille",Op.83,ICS 57,D major,5 sections,,,,,,Romantic,Romantic,"https://imslp.org/wiki/Les_3_mousquetaires,_Op.83_(Schubert,_Camille)"
3º anniversario da Revista,,,,"Vianna, B.",,IBV 3,A major,,1903 ca.,1903,,"A redacção da
Revista da Semana
pela commemoração do seu 3º anniversario.",,Romantic,Romantic,"https://imslp.org/wiki/3%C2%BA_anniversario_da_Revista_(Vianna,_B.)"
4-Star Fugue,,,,"Drehmer, Earl Richard",,IED 4,,,1977,2012,,,3.5 minutes,Modern,Modern,"https://imslp.org/wiki/4-Star_Fugue_(Drehmer,_Earl_Richard)"
Les 5 parties du monde,,,,"Kohler, Emile",,IEK 1,,"5 Figures:
L'Europe
L'Asie
L'Afrique
L'Amérique
L'Océanie",,1876 ca. – [Paris]: The composer,,,,Romantic,Romantic,"https://imslp.org/wiki/Les_5_parties_du_monde_(Kohler,_Emile)"
5 - 6 - 1980,,,,"Toker, Hakan Ali",,IHT 79,C major,,2020,,,Naz Evren,2 minutes,Modern,Romantic,"https://imslp.org/wiki/5-6-1980_(Toker,_Hakan_Ali)"
5-21-16-5-28-16,,,,"Toub, David",,IDT 2,,,2016,,,,10 minutes,Modern,Modern,"https://imslp.org/wiki/5-21-16-5-28-16_(Toub,_David)"
5.1 (2016),,,,"Omid, Aryan",,IAO 5,,,2016,,,,,Modern,Modern,"https://imslp.org/wiki/5.1_(Omid,_Aryan)"
5 (2016),,,,"Omid, Aryan",,IAO 6,,,2016,,,,,Modern,Modern,"https://imslp.org/wiki/5_(Omid,_Aryan)"
⅞ Rag,,,,"Peressoni, Davide",,IDP 2,"G harmonic minor, A major",,2020,,,,2 minutes,Modern,Early 20th century,"https://imslp.org/wiki/7/8_Rag_(Peressoni,_Davide)"
7th Street Rag,,,,"Simpson, Cameron Lee",,ICS 490,C major,4 sections,"2023
First Perf
ormance
.
2023",2023,,,2-3 minutes,Modern,Jazz,"https://imslp.org/wiki/7th_Street_Rag_(Simpson,_Cameron_Lee)"
"10,000 Miles Away Quadrille",,,,"Schacht, Albert M.",,IAS 42,,1 quadrille,,,,,,Romantic,Romantic,"https://imslp.org/wiki/10,000_Miles_Away_Quadrille_(Schacht,_Albert_M.)"
11th Street Rag,,,,"Bowman, Euday L.",,IEB 3,F major,1,,1914,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/11th_Street_Rag_(Bowman,_Euday_L.)"
12th Street Rag,,,,"Bowman, Euday L.",,IEB 2,E-flat major,,,"1914
Librettist
James S. Sumner
Language
English",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/12th_Street_Rag_(Bowman,_Euday_L.)"
12x12 Blues Etudes,,,,"Allard, Michel",,IMA 1,,12 pieces,2004,2015,,,6 minutes,Modern,Modern,"https://imslp.org/wiki/12x12_Blues_Etudes_(Allard,_Michel)"
12,,,,"Pérez, Sergio Aarón",,ISP 2,,1,2016,,,,2 minutes,Modern,Modern,"https://imslp.org/wiki/12_(P%C3%A9rez,_Sergio_Aar%C3%B3n)"
20x20,,,,"De Bleser, Werner J.E.",C197,IWB 88,,20 movements,"2011
First Perf
ormance
.
2012",,,Marleen De Donder,8-9 minutes,Modern,Modern,"https://imslp.org/wiki/20x20_(De_Bleser,_Werner_J.E.)"
The 24 Nocturnes,,,,"Roberts, Hayden","DRI.9.1, HRW. 10 No. 1-24",IHR 11,see below,"24 nocturnes
Nocturne No.1 in E
♭
major
Nocturne No.2 in A minor
Nocturne No.3 in C major
Nocturne No.4 in E major
Nocturne No.5 in C
♯
minor
Nocturne No.6 in C minor
Nocturne No.7 in F major
Nocturne No.8 in F
♯
minor
Nocturne No.9 in E
♭
minor
Nocturne No.10 in D
♭
major
Nocturne No.11 in G
♯
minor
Nocturne No.12 in B major
Nocturne No.13 in A major
Nocturne No.14 in G minor
Nocturne No.15 in B minor
Nocturne No.16 in F minor
Nocturne No.17 in B
♭
major
Nocturne No.18 in F
♯
major
Nocturne No.19 in D major
Nocturne No.20 in G major
Nocturne No.21 in D minor
Nocturne No.22 in B
♭
minor
Nocturne No.23 in A
♭
major
Nocturne No.24 in E minor",2019-2021,,,,,Modern,Modern,"https://imslp.org/wiki/The_24_Nocturnes_(Roberts,_Hayden)"
El 29 de Abril,,,,"Valle Chinestra, Bernardino",,IBV 1,E-flat major,,,,,A la sociedad benéfica de Señoras de la Palma,,Romantic,Romantic,"https://imslp.org/wiki/El_29_de_Abril_(Valle_Chinestra,_Bernardino)"
29th Regiment March,,,,"Gill, Charles H.",,ICG 1,E-flat major,,,,,Officers and members of the 29th Reg't O.S.V.M.,,Romantic,Romantic,"https://imslp.org/wiki/29th_Regiment_March_(Gill,_Charles_H.)"
37 41 43,,,,"Drehmer, Earl Richard",,IED 44,,,"2015
First Perf
ormance
.
2023/03/05",2023,,,1.5 minutes,Modern,Modern,"https://imslp.org/wiki/37_41_43_(Drehmer,_Earl_Richard)"
50th State Rag,,,,"Unger, James Marshall",,IJU 1,,,1988,,,,,Modern,Modern,"https://imslp.org/wiki/50th_State_Rag_(Unger,_James_Marshall)"
"60"" Old Ballad",,,,"Nichifor, Serban",,ISN 250,F major,,"2020
First Perf
ormance
.
2020/5/13",2020,,Dedicated to my best friends Susan and Richard McClellan,1 minute,Modern,Romantic,"https://imslp.org/wiki/60%22_Old_Ballad_(Nichifor,_Serban)"
"60"" Rag",,,,"Nichifor, Serban",,ISN 249,C major,,"2020
First Perf
ormance
.
2020/05/12",2020,,,1 minute,Modern,Jazz,"https://imslp.org/wiki/60%22_Rag_(Nichifor,_Serban)"
"60"" Waltz",,,,"Nichifor, Serban",,ISN 211,,,"2009
First Perf
ormance
.
2009/10/30",2009,,To Robert Voisey,1 minute,Modern,Modern,"https://imslp.org/wiki/60%22_Waltz_(Nichifor,_Serban)"
